n,timestamp,iface,proto,src,dst,mac_src,mac_dst,size,summary
1,2026-04-30 16:06:24.464,en0,TCP,172.26.17.246:49477,142.250.102.109:993,de:87:a4:db:05:7b,d4:7f:35:16:e2:9f,110,TCP 172.26.17.246:49477 → 142.250.102.109:993 [PSH|ACK] seq=892327557 ack=1943407255
2,2026-04-30 16:06:24.465,en0,TCP,172.26.17.246:49477,142.250.102.109:993,de:87:a4:db:05:7b,d4:7f:35:16:e2:9f,66,TCP 172.26.17.246:49477 → 142.250.102.109:993 [FIN|ACK] seq=892327601 ack=1943407255
3,2026-04-30 16:06:24.467,en0,TCP,172.26.17.246:49478,142.250.102.109:993,de:87:a4:db:05:7b,d4:7f:35:16:e2:9f,78,TCP 172.26.17.246:49478 → 142.250.102.109:993 [SYN] seq=3449267490 ack=0
4,2026-04-30 16:06:24.505,en0,TCP,142.250.102.109:993,172.26.17.246:49478,d4:7f:35:16:e2:9f,de:87:a4:db:05:7b,74,TCP 142.250.102.109:993 → 172.26.17.246:49478 [SYN|ACK] seq=480700846 ack=3449267491
5,2026-04-30 16:06:24.506,en0,TCP,172.26.17.246:49478,142.250.102.109:993,de:87:a4:db:05:7b,d4:7f:35:16:e2:9f,66,TCP 172.26.17.246:49478 → 142.250.102.109:993 [ACK] seq=3449267491 ack=480700847
6,2026-04-30 16:06:24.507,en0,TCP,172.26.17.246:49478,142.250.102.109:993,de:87:a4:db:05:7b,d4:7f:35:16:e2:9f,240,TCP 172.26.17.246:49478 → 142.250.102.109:993 [PSH|ACK] seq=3449267491 ack=480700847
7,2026-04-30 16:06:24.511,en0,TCP,142.250.102.109:993,172.26.17.246:49477,d4:7f:35:16:e2:9f,de:87:a4:db:05:7b,66,TCP 142.250.102.109:993 → 172.26.17.246:49477 [ACK] seq=1943407255 ack=892327602
8,2026-04-30 16:06:24.512,en0,TCP,142.250.102.109:993,172.26.17.246:49477,d4:7f:35:16:e2:9f,de:87:a4:db:05:7b,238,TCP 142.250.102.109:993 → 172.26.17.246:49477 [PSH|ACK] seq=1943407255 ack=892327602
9,2026-04-30 16:06:24.512,en0,TCP,142.250.102.109:993,172.26.17.246:49477,d4:7f:35:16:e2:9f,de:87:a4:db:05:7b,66,TCP 142.250.102.109:993 → 172.26.17.246:49477 [FIN|ACK] seq=1943407427 ack=892327602
10,2026-04-30 16:06:24.513,en0,TCP,172.26.17.246:49477,142.250.102.109:993,de:87:a4:db:05:7b,d4:7f:35:16:e2:9f,54,TCP 172.26.17.246:49477 → 142.250.102.109:993 [RST] seq=892327602 ack=0
